school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State
MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,538785,HOUGANG MRT,"74, 74E, 88, 101, 147, 147A, 161",HOUGANG,NORTH,Singapore,Singapore
NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,545079,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",SENG KANG,NORTH,Singapore,Singapore
NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,Sengkang Station,"156, 159, 161, 371, 372",SENG KANG,NORTH,Singapore,Singapore
NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,129956,CLEMENTI MRT,"14, 33, 52, 78, 96, 97, 105, 106, 147, 151, 154, 165, 166, 183, 185, 188, 189, 196, 197, 198, 282, 285, 963",CLEMENTI,WEST,Singapore,Singapore
NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,Clementi MRT Station,"30, 51, 143, 175, 201, 533, 655, 727, 762",CLEMENTI,WEST,Singapore,Singapore
NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,288683,"SIXTH AVENUE MRT, TAN KAH KEE MRT","66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,WEST,Singapore,Singapore
NANYANG JUNIOR COLLEGE,128  SERANGOON AVENUE 3,556111,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",SERANGOON,SOUTH,Singapore,Singapore
NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,Farrer Rd MRT Station,"66, 67, 74, 93, 151, 153, 154, 156, 157, 165, 170, 171, 174, 186, 852, 855, 961",BUKIT TIMAH,WEST,Singapore,Singapore
NATIONAL JUNIOR COLLEGE,37   HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","151, 154, 156, 157, 170, 170X, 171, 174, 66, 67, 67A, 67W, 74, 852, 961, 961C",BUKIT TIMAH,SOUTH,Singapore,Singapore
NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,Yishun MRT Station,Feeder bus No. 811 from Yishun Interchange.,YISHUN,NORTH,Singapore,Singapore
NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,768689,KHATIB MRT,"39, 811, 812, 851, 852, 853, 854, 855, 858, 965, 969",YISHUN,NORTH,Singapore,Singapore
NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,Commonwealth MRT Station,"SBS Numbers 32, 100, 105, 111, 145, 147, 195, 196, 198, 855",QUEENSTOWN,SOUTH,Singapore,Singapore
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,"DOVER MRT, CLEMENTI MRT","33, 96, 151, 196, 183",QUEENSTOWN,WEST,Singapore,Singapore
NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,Nil,"13, 16, 31,36, 55, 608, 197, 196, 135 (at Marine Parade road) 13, 16 and 196 (at Marine Terrace)",MARINE PARADE,EAST,Singapore,Singapore
NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,529283,"TAMPINES MRT, SIMEI MRT, TAMPINES EAST MRT","3, 4, 8, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 38, 39, 59, 81, 291, 293, 518, 552",TAMPINES,EAST,Singapore,Singapore
NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,NEL - Sengkang Station LRT - Bakau Station,"SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372",SENG KANG,NORTH,Singapore,Singapore
NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,Yishun Khatib,"Feeder Service 804, 806, 807, 860",YISHUN,NORTH,Singapore,Singapore
NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,SENG KANG,NORTH,Singapore,Singapore
NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,545081,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119",SENG KANG,NORTH,Singapore,Singapore
NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,768692,"YISHUN MRT, KHATIB MRT","804, 806, 807, 860, 103",YISHUN,NORTH,Singapore,Singapore
NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,Yishun MRT Station,812 (next to bus service number 171) at Yishun Interchange,YISHUN,NORTH,Singapore,Singapore
NORTHLAND SECONDARY SCHOOL,3    YISHUN STREET 22,768578,YISHUN MRT,"811, 804, 800",YISHUN,NORTH,Singapore,Singapore
NORTHLIGHT SCHOOL,151  Towner Road,327830,BOON KENG (NE9),"21, 125, 130, 139, 145, 13, 23, 31, 64, 65, 133, 147, 857, 985",MARINE PARADE,SOUTH,Singapore,Singapore
NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,Sembawang MRT,Bus number 962,SEMBAWANG,NORTH,Singapore,Singapore
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20   Clementi Avenue 1,129957,Nearest MRT Stations - Clementi and Dover,"96, 97, 151, 183, 188, 189, 196, 197, 198",CLEMENTI,WEST,Singapore,Singapore
OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,Damai LRT Station,"50, 386",PUNGGOL,EAST,Singapore,Singapore
OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,"Bedok, Kembangan",42,BEDOK,EAST,Singapore,Singapore
ORCHID PARK SECONDARY SCHOOL,10   YISHUN STREET 81,768454,KHATIB MRT,811,YISHUN,NORTH,Singapore,Singapore
OUTRAM SECONDARY SCHOOL,3    YORK HILL,168622,"OUTRAM PARK MRT, CHINATOWN MRT","174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",CENTRAL,SOUTH,Singapore,Singapore
PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,Buangkok,"27,43,109,156,159,161,163,163M,550",SENG KANG,NORTH,Singapore,Singapore
PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,Pasir Ris MRT Station,"358,39,53,81,89",PASIR RIS,EAST,Singapore,Singapore
PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,518934,PASIR RIS MRT,"358, 17, 81, 12, 3",PASIR RIS,EAST,Singapore,Singapore
PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,Pasir Ris MRT,"3,5,6,89",PASIR RIS,EAST,Singapore,Singapore
PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,529400,"TAMPINES MRT, TAMPINES EAST MRT,  TAMPINES WEST MRT","3, 4, 8, 10, 18, 19, 20, 22, 23, 28, 29, 31, 37, 38, 39, 46, 65, 69, 72, 81, 127, 129, 291, 292, 293, 298",TAMPINES,EAST,Singapore,Singapore
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,"Aljunied, Kovan, Serangoon","53, 62, 113, 45",HOUGANG,EAST,Singapore,Singapore
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,536742,"KOVAN MRT, SERANGOON MRT","45, 53, 53M, 62, 113",HOUGANG,EAST,Singapore,Singapore
PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,Toa Payoh Station and Braddell Station,"Bus Service 232, 57",TOA PAYOH,SOUTH,Singapore,Singapore
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,Beauty World,"970, 852, 174, 173, 157, 77, 61",BUKIT TIMAH,WEST,Singapore,Singapore
PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,797702,"SENGKANG MRT, LAYAR LRT","50, 70, 86, 103, 163, 854",SENG KANG,NORTH,Singapore,Singapore
PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,Clementi,"7, 184, 282",CLEMENTI,SOUTH,Singapore,Singapore
PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,556094,SERANGOON MRT,"22, 24, 43, 53, 70, 76, 103, 109, 116, 147, 156, 315, 317, 853",SERANGOON,SOUTH,Singapore,Singapore
PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,575566,"ANG MO KIO MRT, BISHAN MRT, MARYMOUNT MRT","52, 132, 162, 163, 165, 166, 167, 410, 855, 980",BISHAN,SOUTH,Singapore,Singapore
PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,Khatib,"851, 852, 853, 854, 855",YISHUN,NORTH,Singapore,Singapore
PING YI SECONDARY SCHOOL,61   CHAI CHEE STREET,468980,BEDOK MRT,"26, 222, 222P, 2, 7, 24, 25, 28, 30, 30E, 32, 33, 40, 67, 229, 401, 854, 60, 87",BEDOK,EAST,Singapore,Singapore
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,Boon Lay Station,243,JURONG WEST,WEST,Singapore,Singapore
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,Tampines MRT,"Bus 293, 72, 27 and 168",TAMPINES,EAST,Singapore,Singapore
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,YIO CHU KANG MRT,"45, 70, 71, 76, 86, 529, 825, 851, 851e, 852, 853",ANG MO KIO,SOUTH,Singapore,Singapore
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,Bukit Batok MRT Station,"Bus 174, 157, 178, 66, 941",BUKIT BATOK,WEST,Singapore,Singapore
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,Nibong LRT Station,"382, 84",PUNGGOL,EAST,Singapore,Singapore
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,Punggol MRT Station,na,PUNGGOL,EAST,Singapore,Singapore
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,"Hougang, Buangkok",62 74 88 113 147 325,HOUGANG,SOUTH,Singapore,Singapore
PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,"PUNGGOL MRT, COVE LRT","3, 34, 62, 82, 83, 85, 136, 965, 386",PUNGGOL,NORTH,Singapore,Singapore
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,Punggol MRT Station,50 382,PUNGGOL,EAST,Singapore,Singapore
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,Clementi MRT Station,"30,51,78,143,285",CLEMENTI,WEST,Singapore,Singapore
QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,Woodlands MRT Station,911,WOODLANDS,NORTH,Singapore,Singapore
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,Queenstown MRT,"32, 111, 145, 195",QUEENSTOWN,SOUTH,Singapore,Singapore
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,"REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970",QUEENSTOWN,SOUTH,Singapore,Singapore
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,"COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970",QUEENSTOWN,SOUTH,Singapore,Singapore
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",BUKIT MERAH,SOUTH,Singapore,Singapore
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,SOUTH,Singapore,Singapore
RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,"BRADDELL MRT, CALDECOTT MRT, MARYMOUNT MRT, BISHAN MRT","93, 156, 157, 163",CENTRAL,SOUTH,Singapore,Singapore
RAFFLES INSTITUTION,1    RAFFLES INSTITUTION LANE,575954,"BISHAN MRT, MARYMOUNT MRT","410,13,50,52,53,54,55,56,57,58,59,71,74,88,93,128,130,132,156,157,162,163,165,166,167,851,852,855,980",BISHAN,SOUTH,Singapore,Singapore
RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,Bedok MRT,"Bus 14, 17, 18, 28, 66, 67, 69, 222, 227, 228",BEDOK,EAST,Singapore,Singapore
REGENT SECONDARY SCHOOL,50   CHOA CHU KANG NORTH 5,689621,"YEW TEE MRT, CHOA CHU KANG MRT","307, 302, 160, 170, 178, 925, 927, 960, 961",CHOA CHU KANG,WEST,Singapore,Singapore
RIVER VALLEY HIGH SCHOOL,6    BOON LAY AVENUE,649961,BOON LAY MRT,"99, 157, 172, 174, 174E, 198, 502, 502A, SS4, NR5",JURONG WEST,WEST,Singapore,Singapore
RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,Somerset MRT,"5, 16, 32, 54, 65, 75, 175, 970",CENTRAL,SOUTH,Singapore,Singapore
RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,Admiralty MRT Station,Bus No 913 and Bus No 964,WOODLANDS,NORTH,Singapore,Singapore
RIVERSIDE SECONDARY SCHOOL,3    WOODLANDS STREET 81,738524,WOODLANDS MRT,"858, 900, 911, 913, 964, 962, 965, 969, 169, 903",WOODLANDS,NORTH,Singapore,Singapore
RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,Nearest LRT Station : Rumbia,Bus Service 86.,SENG KANG,NORTH,Singapore,Singapore
ROSYTH SCHOOL,21   Serangoon North Avenue 4,555855,"Ang Mo Kio, Serangoon","73, 315, 116",SERANGOON,NORTH,Singapore,Singapore
RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,Lakeside,SBS 335,JURONG WEST,WEST,Singapore,Singapore
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1    Technology Drive,138572,Dover,"14, 74, 105, 106, 147, 166, 185",CLEMENTI,WEST,Singapore,Singapore
"SCHOOL OF THE ARTS, SINGAPORE",1    Zubir Said Drive,227968,Dhoby Ghaut,"7, 14, 16, 36, 64, 65, 77, 106, 111, 124, 128, 131, 147, 162, 166, 167, 171, 174, 175, 190, 502, 518, 700, 857,",CENTRAL,SOUTH,Singapore,Singapore
SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,Sembawang MRT (6 to 8-minute walk),"167, 856, 859, 962, 980",SEMBAWANG,NORTH,Singapore,Singapore
SEMBAWANG SECONDARY SCHOOL,30   SEMBAWANG CRESCENT,757704,SEMBAWANG MRT,"859, 962",SEMBAWANG,NORTH,Singapore,Singapore
SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,Sengkang MRT,"27, 80, 82, 83, 86, 87, 88, 89, 119, 156, 163, 371, 372 & 965",SENG KANG,NORTH,Singapore,Singapore
